es_0,"$0 "
es_427,NULL
es_428,NULL
es_429,NULL
es_430,NULL
es_431,NULL
es_432,NULL
es_433,NULL
es_434,NULL
es_435,NULL
es_436,NULL
es_437,Theodore[Mercado]
es_438,"Cielo[Administrador del clan]"
es_439,Nat
es_440,Roger[Encantar]
es_441,"Comerciante de evento[solo por tiempo limitado]"
es_442,"Agente de evento[solo por tiempo limitado]"
es_443,"Asesino de evento"
es_444,"Vigilante de evento"
es_445,"Inquisidor del mal"
es_446,Alquimista
es_447,Tiago
es_448,Comerciante
es_449,"Hombre lobo impostor"
es_450,"Enano impostor"
es_451,"Orco impostor"
es_452,"Luchador orco impostor"
es_453,"Kobold impostor"
es_454,"Trasco impostor"
es_455,"Espantajo impostor"
es_456,"Luchador enano impostor"
es_457,Havel[Encantar]
es_458,Swain
es_459,Viajante
es_460,"Maestro de valoración"
es_461,"Espantajo de la Oscuridad"
es_462,"Thri Kreen de la Oscuridad"
es_463,"Cerbero de la Oscuridad"
es_464,"Gólem de piedra de la Oscuridad"
es_465,"Esqueleto de la Oscuridad"
es_466,"Arquero esqueleto de la Oscuridad"
es_467,"Hachero de la Oscuridad"
es_468,"Lancero de la Oscuridad"
es_469,"Belladona de la Oscuridad"
es_470,"Necrófago de la Oscuridad"
es_471,"Ungoliant de la Oscuridad"
es_472,"Zombi de la Oscuridad"
es_473,Jax[Artesano]
es_474,"El Atemporal"
es_475,"Caja de tesoro (suerte)"
es_476,NULL
es_477,NULL
es_478,"Caja de tesoro"
es_479,"Siervo de Teon[Juramento]"
es_480,"Regalo de Teon (1 días)"
es_481,"Regalo de Teon (5 días)"
es_482,"Regalo de Teon (30 días)"
es_483,"Don de Teon"
es_484,"Regalo de Teon (7 días)"
es_485,"Sirviente de María"
es_486,"El Guardián Caído"
es_487,"María, Sierva de los Muertos [transferir]"
es_488,"Clive[Almacén del clan]"
es_489,"Pan [pastor]"
es_490,"Espíritu de madera marchita"
es_491,"Bendición de la Diosa de la Luna [concesión]"
es_492,"Sylvia [material]"
es_493,"Tom Truco o Trato"
es_494,"Kenny Candiless"
es_495,"Pequeño cuerno"
es_496,"Mensajero de vacaciones"
es_497,"Anciano Chamán"
es_498,"Pirata de Castaway [tesoro]"
es_499,"Anillo de la bondad"
es_500,"Gema mágica avanzado"
es_501,"Pergamino de protección"
es_502,"Libro sagrado"
es_503,"Llave de cobre"
es_504,"Llave de madera"
es_505,"Libro de hechizos"
es_506,Pergamino
es_507,"Poción de sabiduría"
es_508,"Poción de valor"
es_509,Cora
es_510,"Rama de la vida"
es_511,Pluma
es_512,Flauta
es_513,"Fragmentos de huesos"
es_514,Cristal
es_515,Polvo
es_516,Ramo
es_517,"Poción de celeridad"
es_518,NULL
es_519,"Poción curativa menor"
es_520,NULL
es_521,"Poción de recuperación de maná"
es_522,NULL
es_523,"Poción de cura de veneno"
es_524,"Poción de esmeralda"
es_525,"Poción curativa mayor"
es_526,NULL
es_527,"Poción curativa"
es_528,"Poción naranja"
es_529,Calabaza
es_530,Maíz
es_531,Oro
es_532,"Oblea elfa"
es_533,"Pergamino de retorno: Ciudad de la Isla Prometida"
es_534,"Pergamino de retorno: Mazmorra de la Isla Prometida 1F"
es_535,"Pergamino de retorno: Mazmorra de la Isla Prometida 2F"
es_536,"Pergamino de retorno: Túnel de fuga antiguo"
es_537,"Pergamino de retorno: Mazmorra de Maros 1F"
es_538,"Pergamino de retorno: Mazmorra de Maros 2F"
es_539,"Pergamino de retorno: Mazmorra de Maros 3F"
es_540,"Pergamino de retorno: Mazmorra de Maros 4F"
es_541,"Pergamino de retorno: Mazmorra de Maros 5F"
es_542,"Pergamino de retorno: Mazmorra de Maros 6F"
es_543,"Pergamino de retorno: Mazmorra de Maros 7F"
es_544,NULL
es_545,"Pergamino de retorno: Mazmorra del castillo Sandwood 1F"
es_546,"Pergamino de retorno: Mazmorra del castillo Sandwood 2F"
es_547,"Pergamino de retorno: Damelot"
es_548,"Pergamino de retorno: Mazmorra de Damelot 1F"
es_549,"Pergamino de retorno: Mazmorra de Damelot  2F"
es_550,"Pergamino de retorno: Mazmorra de Damelot  3F"
es_551,"Pergamino de retorno: Mazmorra de Damelot  4F"
es_552,"Pergamino de retorno: Ciudad de Sandwood"
es_553,"Pergamino de retorno: Oasis del desierto"
es_554,"Pergamino de retorno: Ciudad de Maros"
es_555,"Pergamino de retorno: Ciudad orca"
es_556,"Pergamino de retorno: Gremio de orcos"
es_557,"Pergamino de retorno: Castillo de Sandwood"
es_558,"Pergamino de retorno: Ciudad interior de Sandwood"
es_559,"Pergamino de retorno: Jardín élfico"
es_560,"Pergamino de retorno: Mazmorra élfica 1F"
es_561,"Pergamino de retorno: Mazmorra élfica 2F"
es_562,"Pergamino de retorno: Mazmorra élfica 3F"
es_563,"Pergamino de retorno: Mazmorra de la montaña de Drake 1F"
es_564,"Pergamino de retorno: Mazmorra de la montaña de Drake 2F"
es_565,"Pergamino de retorno: Mazmorra de la montaña de Drake 3F"
es_566,"Pergamino de retorno: Mazmorra de la montaña de Drake 4F"
es_567,"Pergamino de retorno: Mazmorra de la montaña de Drake 5F"
es_568,"Pergamino de retorno: Mazmorra de la montaña de Drake 6F"
es_569,"Pergamino de retorno: Mazmorra de la montaña de Drake 7F"
es_570,NULL
es_571,"Pergamino de retorno: Cueva de las hormigas del desierto 1-1"
es_572,"Pergamino de retorno: Cueva de las hormigas del desierto 1-2"
es_573,"Pergamino de retorno: Cueva de las hormigas del desierto 1-3"
es_574,"Pergamino de retorno: Cueva de las hormigas del desierto 1-4"
es_575,"Pergamino de retorno: Cueva de las hormigas del desierto 1-5"
es_576,"Pergamino de retorno: Cueva de las hormigas del desierto 1-6"
es_577,"Pergamino de retorno: Cueva de las hormigas del desierto 2-1"
es_578,"Pergamino de retorno: Cueva de las hormigas del desierto 2-2"
es_579,"Pergamino de retorno: Cueva de las hormigas del desierto 2-3"
es_580,"Pergamino de retorno: Cueva de las hormigas del desierto 3"
es_581,"Pergamino de retorno"
es_582,"Cristal Espiritual Especial (Agua)"
es_583,"Cristal Espiritual Especial (Fuego)"
es_584,"Cristal Espiritual Especial (Viento)"
es_585,"Cristal Espiritual Especial (Tierra)"
es_586,"Pergamino general"
es_587,Mapa
es_588,"Billete de ferry"
es_589,NULL
es_590,NULL
es_591,NULL
es_592,NULL
es_593,"Poción de la muerte"
es_594,NULL
es_595,NULL
es_596,NULL
es_597,NULL
es_598,NULL
es_599,NULL
es_600,NULL
es_601,NULL
es_602,NULL
es_603,NULL
es_604,NULL
es_605,NULL
es_606,NULL
es_607,NULL
es_608,NULL
es_609,NULL
es_610,NULL
es_611,NULL
es_612,"Pergamino de novato"
es_613,"Pergamino de retorno: Mazmorra Oxvale"
es_614,"Poción de alivio de emoción"
es_615,"Colmillos de hombre lobo debilitado"
es_616,"Fragmento de cristal del tiempo"
es_617,"Pluma de harpía debilitada"
es_618,"Comida de osobúho debilitado"
es_619,"Novicio Poción curativa"
es_620,"Novicio Poción naranja"
es_621,"Galletas de vainilla"
es_622,"Novicio Poción curativa menor"
es_623,NULL
es_624,"Novicio Poción de celeridad"
es_625,NULL
es_626,"Pergamino de retorno: [Monumento de Edin]"
es_627,"Recipiente de Justina"
es_628,"Vides de fuego"
es_629,"Hoja rota"
es_630,"Cristal de alma zombi"
es_631,"Cristal de alma de ojo flotante"
es_632,"Sangre de necrófago"
es_633,"Pellejo de lobo"
es_634,"Cristal del tiempo"
es_635,"Almacenamiento de la armadura de Leah"
es_636,"Poción curativa de Leah"
es_637,"Cuero del cazador"
es_638,"Libro de hechizos"
es_639,Novicio
es_640,"Servidor del Caballero de la Muerte"
es_641,"Pergamino de polimorfia (Novicio)"
es_642,"Escudo (Magia)"
es_643,"Descarga de energía"
es_644,"Daga de hielo"
es_645,"Curación menor"
es_646,Teletransporte
es_647,Luz
es_648,"Arma sagrada"
es_649,"Shuriken de viento"
es_650,"Colmillo del infierno"
es_651,"Toque helado"
es_652,"Arma de encantamiento"
es_653,"Maldición: Veneno"
es_654,"Flecha de fuego"
es_655,Detección
es_656,"Poción curativa"
es_657,"Disminución de peso"
es_658,Curar
es_659,"Nube de Congelación"
es_660,Rayo
es_661,"Mostrar debilidad"
es_662,"Convertir no muertos"
es_663,"Armadura bendita"
es_664,"Maldición: Ceguera"
es_665,Meditación
es_666,"Toque vampírico"
es_667,"Rotura de armas"
es_668,"Prisión de la tierra"
es_669,"Bola de fuego"
es_670,Ralentización
es_671,"Encantamiento físico: DES"
es_672,"Contrarrestar magia"
es_673,"Cono de frío"
es_674,"Maldición: Parálisis"
es_675,"Invocar relámpago"
es_676,"Eliminar maldición"
es_677,"Domar monstruo"
es_678,"Curación mayor"
es_679,"Consumo de maná"
es_680,Oscuridad
es_681,Celeridad
es_682,Erupción
es_683,Debilidad
es_684,"Rayo solar"
es_685,"Arma de bendición"
es_686,"Crear zombi"
es_687,"Encantamiento físico: FZA"
es_688,"Cancelar magia"
es_689,Paralizar
es_690,"Invocar monstruo"
es_691,"Celeridad mayor"
es_692,Enloquecido
es_693,Enfermedad
es_694,"Paseo sagrado"
es_695,"Promesa de curación"
es_696,Tornado
es_697,"Mina mágica"
es_698,"Curación completa"
es_699,Ventisca
es_700,"Manantial de vida"
es_701,"Muro de fuego"
es_702,Resurrección
es_703,Invisibilidad
es_704,Terremoto
es_705,Silencio
es_706,"Contrarrestar detección"
es_707,"Niebla del sueño"
es_708,"Tormenta de fuego"
es_709,"Escudo de Protección"
es_710,"Poción del deterioro"
es_711,Mutación
es_712,"Teletransporte en masa"
es_713,"Tormenta de rayos"
es_714,"Campo de fuerza"
es_715,"Visión interior"
es_716,"Pincho de hielo"
es_717,"Crear arma mágica"
es_718,"Ataque de meteorito"
es_719,Destruir
es_720,"Resurrección mayor"
es_721,"Barrera absoluta"
es_722,"Ralentización en masa"
es_723,"Avanzar espíritu"
es_724,"Cambiar posición"
es_725,"Teletransporte en masa mejorado"
es_726,"Paralizar a todos"
es_727,"Pozo reflectante"
es_728,NULL
es_729,NULL
es_730,NULL
es_731,NULL
es_732,NULL
es_733,NULL
es_734,NULL
es_735,NULL
es_736,NULL
es_737,NULL
es_738,NULL
es_739,NULL
es_740,"Teletransportar a madre"
es_741,"Cuerpo y mente"
es_742,"Resistir a la magia"
es_743,"Resistir a los elementos"
es_744,"Borrar mente"
es_745,"Triple flecha"
es_746,"Protección del elemental"
es_747,Enmarañar
es_748,"Piel de la tierra"
es_749,"Agua de vida"
es_750,"Arma de fuego"
es_751,"Regresar a la Naturaleza"
es_752,"Paseo del viento"
es_753,"Disparo del viento"
es_754,"Sangre y alma"
es_755,"Invocar elemental menor"
es_756,"Vínculo de la tierra"
es_757,"Guardián de la tierra"
es_758,"Caída del elemental"
es_759,"Ojo de la tormenta"
es_760,"Protección aguamarina"
es_761,"Llamarada bailarina"
es_762,"Toque de la Naturaleza"
es_763,"Eliminar magia"
es_764,"Invocar elemental mayor"
es_765,"Área de silencio"
es_766,"Fuego elemental"
es_767,"Paseo de la tormenta"
es_768,"Disparo de la tormenta"
es_769,"Contaminar agua"
es_770,"Arma ardiente"
es_771,"Alma de llama"
es_772,"Milagro de la naturaleza"
es_773,"Bendición de la naturaleza"
es_774,"Vendaval de ataque"
es_775,"Fuego adicional"
es_776,"Piel férrea"
es_777,"Contrarrestar reflejo"
es_778,"Grillete del viento"
es_779,"Vigorización exótica"
es_780,"Carro sólido"
es_781,"Armadura de reducción"
es_782,Contrabarrera
es_783,"Choque abrumador "
es_784,"Ataque de rebote"
es_785,"Objetivo real"
es_786,"Llamar a clan"
es_787,"Aura brillante"
es_788,"Aprender clan"
es_789,"Aura valiente"
es_790,"Aura resplandeciente"
es_791,NULL
es_792,"Elemento de rayo"
es_793,"Elemento de fuego"
es_794,"Elemento de agua"
es_795,"Elemento de tierra"
es_796,"Elemento de viento"
es_797,"Tarta lunar de pasta de judía"
es_798,"Tarta lunar de osmanthus"
es_799,"Tarta lunar de loto"
es_800,"Tarta lunar de huevo doble"
es_801,Lámpara
es_802,Faroles
es_803,Keroseno
es_804,"Faroles mágicos"
es_805,Velas
es_806,"Varita de Conjurar monstruo"
es_807,"Varita de pino"
es_808,"Varita de Invocar rayo"
es_809,"Varita de ébano"
es_810,"Varita de polimorfia"
es_811,"Varita de arce"
es_812,"Varita de expulsión"
es_813,"Poción de apresuramiento mayor"
es_814,NULL
es_815,"Poción curativa menor condensada"
es_816,"Poción curativa condensada"
es_817,"Poción curativa condensada mayor"
es_818,"Poción naranja condensada"
es_819,"Poción curativa condensada mayor"
es_820,"Poción blanca condensada"
es_821,"Poción curativa menor antigua"
es_822,NULL
es_823,"Poción curativa antigua"
es_824,NULL
es_825,"Poción curativa mayor antigua"
es_826,NULL
es_827,"Poción de ceguera"
es_828,"Poción negra"
es_829,Elixir(FZA)
es_830,Elixir(CON)
es_831,Elisir(DES)
es_832,Elixir(INT)
es_833,Elixir(SAB)
es_834,Elixir(CAR)
es_835,Vino
es_836,Whisky
es_837,"Poción de agudeza mental"
es_838,Diamante
es_839,Rubí
es_840,Zafiro
es_841,Esmeralda
es_842,"Diamante de alta calidad"
es_843,"Rubí de alta calidad"
es_844,"Zafiro de alta calidad"
es_845,"Esmeralda de alta calidad"
es_846,"Diamante de la mayor calidad"
es_847,"Ruby de la mayor calidad"
es_848,"Zafiro de la mayor calidad"
es_849,"Esmeralda de la mayor calidad"
es_850,Carne
es_851,"Carne del ojo flotante"
es_852,Huevo
es_853,Zanahoria
es_854,Limón
es_855,Plátano
es_856,Manzana
es_857,Naranja
es_858,"Pergamino de encantar armadura"
es_859,"Pergamino de destruir armadura"
es_860,"Pergamino de huida"
es_861,"Pergamino de teletransporte en masa"
es_862,"Pergamino de encantar arma"
es_863,"Pergamino de polimorfia"
es_864,"Pergamino de resurrección"
es_865,"Novicio Pergamino de huida"
es_866,"Novicio Pergamino de eliminación de maldición"
es_867,"Novicio Pergamino de identificación"
es_868,"Novicio Pergamino de teletransporte"
es_869,"Pergamino de teletransporte"
es_870,"Pergamino de eliminación de maldición"
es_871,"Pergamino de identificación"
es_872,"Corazón de gólem"
es_873,"Llave dorada"
es_874,"Corazón de draco"
es_875,Platino
es_876,"Llave de habitación de posada"
es_877,"Llave de plata"
es_878,"Collar de mascota"
es_879,"Muela de afilar"
es_880,"Gema mágica"
es_881,"Gema espiritual"
es_882,"Escama de Scatha"
es_883,"Garra de Scatha"
es_884,"Ojo de Scatha"
es_885,"Sangre de Scatha"
es_886,"Carne de Scatha"
es_887,"Corazón de Scatha"
es_888,"Hueso de Scatha"
es_889,"Diente de Scatha"
es_890,"Escama de dragón de fuego"
es_891,"Escama de dragón de viento"
es_892,"Escama de dragón de agua"
es_893,"Escama de dragón de tierra"
es_894,Cuero
es_895,"Cuero endurecido"
es_896,"Montón de hierro"
es_897,"Red de Lolth"
es_898,"Pellejo de lobo"
es_899,"Plato de platino"
es_900,Platino
es_901,"Pedazo de platino áspero"
es_902,"Jugo de limo"
es_903,"Mithril oscuro"
es_904,"Montón de mithril oscuro áspero"
es_905,"Placa de mithril oscuro"
es_906,"Paño azul"
es_907,"Paño rojo"
es_908,"Paño blanco"
es_909,Escala
es_910,"Caparazón de escorpión"
es_911,"Montón de plata"
es_912,"Trozo de plata áspero"
es_913,"Placa de plata"
es_914,"Trozo de alma"
es_915,"Fragmento de espíritu"
es_916,"Cuero de Cerbero"
es_917,"Placa de oro"
es_918,"Montón de oro"
es_919,"Trozo de oro áspero"
es_920,"Pluma de grifo"
es_921,"Hilo de mithril"
es_922,"Montón de mithril"
es_923,"Placa de mithril"
es_924,Hilo
es_925,Oricalco
es_926,"Placa de oricalco"
es_927,"Sangre de ogro"
es_928,"Elemento de piedra"
es_929,"Polvo de hada"
es_930,"Ala de hada"
es_931,"Placa delgada"
es_932,"Llaves negras"
es_933,"Llave roja"
es_934,"Flecha antigua"
es_935,Flecha
es_936,"Flecha de Plata"
es_937,"Flecha dorada"
es_938,"Flecha de Mithril"
es_939,"Flecha de mithril oscuro"
es_940,"Flecha de oricalco"
es_941,"Bloque de acero"
es_942,"Montón de hierro áspero"
es_943,Piedras
es_944,Disolvente
es_945,Harina
es_946,Tomate
es_947,"Agua bendita"
es_948,"Pergamino de encantar arma: Fuego"
es_949,"Pergamino de encantar arma: Tierra"
es_950,"Pergamino de encantar arma: Agua"
es_951,"Pergamino de encantar arma: Viento"
es_952,"Poción de renacimiento"
es_953,Carta
es_954,"Pergamino de encantar accesorio"
es_955,"Emblema de sangre de hierro"
es_956,"Placa rara"
es_957,"Placa del vacío"
es_958,"Huesos de no muerto"
es_959,"Cuero roto (X)"
es_960,"Cuero roto (Y)"
es_961,"Médula de mago esqueleto"
es_962,"Cristal de alma purificado"
es_963,"Corazón de gólem de piedra"
es_964,"Cristal de alma mugriento"
es_965,"Mapa de la mazmorra de la Isla Prometida"
es_966,"Mensaje de túnel de fuga antiguo"
es_967,"Esencia de poder de caballero de la muerte"
es_968,"Cristal de alma mugriento"
es_969,"Huesos de no muerto de caballero de la muerte"
es_970,"Piedra del vacío"
es_971,"Corazones de Thri Kreen"
es_972,"Colmillos de hombre lobo"
es_973,"Aceite de necrófago"
es_974,"Carne de necrófago"
es_975,"Contenedor de fragmentos de huesos"
es_976,"Paquetes de comida"
es_977,"Caja de piedra"
es_978,"Moneda de platino antigua"
es_979,"Juramento escrito"
es_980,"Poción curativa menor (vinculado)"
es_981,"Poción de cura de veneno (vinculado)"
es_982,"Poción curativa menor (vinculado)"
es_983,"Poción de celeridad (vinculado)"
es_984,"Pergamino de huida (vinculado)"
es_985,"Pergamino de teletransporte (vinculado)"
es_986,"Pergamino de eliminación de maldición (vinculado)"
es_987,"Pergamino de identificación (vinculado)"
es_988,"Muela de afilar (vinculado)"
es_989,"Pergamino de encantar arma (vinculado)"
es_990,"Pergamino de encantar armadura (vinculado)"
es_991,"Llave de madera del infierno"
es_992,"Llave de sangre negra"
es_993,"Pergamino avanzado de deformación"
es_994,"Pergamino de deformación"
es_995,"Regalo de sabio"
es_996,"Regalo de Teon (60 días)"
es_997,NULL
es_998,NULL
es_999,NULL
es_1000,"Daga orca"
es_1001,"Daga de Dice"
es_1002,"Cuerpo de espada corta"
es_1003,Daga
es_1004,"Daga elfa"
es_1005,"Daga de novicio"
es_1006,"Daga de mithril"
es_1007,"Daga de oricalco"
es_1008,"Espada maldita de Bran"
es_1009,"Cuerpo de espada larga"
es_1010,"Cuerpo de espada de oricalco"
es_1011,"Cuerpo de espada orca"
es_1012,"Perforador de malla"
es_1013,"Espada ancha"
es_1014,"Espada corta"
es_1015,"Espada de plata"
es_1016,"Cuerpo de espada enana"
es_1017,Cimitarra
es_1018,"Espada corta elfa"
es_1019,"Espada de plata larga"
es_1020,"Espada del caballero rojo"
es_1021,"Espada ancha"
es_1022,"Espada de los caballeros oscuros"
es_1023,"Espada a una mano de novicio"
es_1024,"Espada de Damascus"
es_1025,"Daga de los caballeros oscuros"
es_1026,Katana
es_1027,Estoque
es_1028,Shamshir
es_1029,"Espada a dos manos de novicio"
es_1030,"Espada a dos manos"
es_1031,"Espada de Bran"
es_1032,Tsurugi
es_1033,"Espada de fuego de caballero de la muerte"
es_1034,"Hoja del destino"
es_1035,"Gran espada"
es_1036,"Cuerno de Pan"
