ru_0,"$0 "
ru_207,"Элитный скелет с копьем"
ru_208,Кирстен
ru_209,Келл
ru_210,"Скелет маг"
ru_211,Курица
ru_212,Лора
ru_213,Наоми
ru_214,Найроби
ru_215,Марла
ru_216,Утка
ru_217,Марсия
ru_218,Гусь
ru_219,Недра
ru_220,Поросенок
ru_221,Птолемей
ru_222,Кролик
ru_223,"Паскаль[Оружейный магазин]"
ru_224,"Рода"
ru_225,"Сомали[Магазин предметов]"
ru_226,Рамла
ru_227,Баран
ru_228,"Рабия[Магазин доспехов]"
ru_229,Овца
ru_230,"Сомали[Магазин предметов]"
ru_231,Сэди
ru_232,Терстон
ru_233,Темис
ru_234,Юта
ru_235,Аптон
ru_236,"Лодочник в порту на Обетованном острове"
ru_237,Мерлин
ru_238,Наталья
ru_239,Солдат
ru_240,NULL
ru_241,NULL
ru_242,Эльберет
ru_243,NULL
ru_244,NULL
ru_245,NULL
ru_246,"Слабая гарпия"
ru_247,NULL
ru_248,"Слабый оборотень"
ru_249,Андрей
ru_250,Гразоб
ru_251,NULL
ru_252,Каргук[Склад]
ru_253,"Пиггу[Оружейный магазин]"
ru_254,"Агроб[Магазин доспехов]"
ru_255,"Лазгар[Магазин предметов]"
ru_256,Лана
ru_257,Лосиан
ru_258,Оуэн
ru_259,"Слабый скорпион"
ru_260,NULL
ru_261,NULL
ru_262,NULL
ru_263,"Слабый совомедведь"
ru_264,Шедбэк
ru_265,"Слабый имп"
ru_266,NULL
ru_267,"Слабый троглодит"
ru_268,NULL
ru_269,NULL
ru_270,NULL
ru_271,NULL
ru_272,"Слабый три-крин"
ru_273,NULL
ru_274,NULL
ru_275,NULL
ru_276,NULL
ru_277,NULL
ru_278,NULL
ru_279,NULL
ru_280,NULL
ru_281,Эдит
ru_282,Гас
ru_283,Перси
ru_284,Гвен
ru_285,Гувер
ru_286,Ирвин
ru_287,Инез
ru_288,"Дьюра[Магазин зелий]"
ru_289,Лам
ru_290,Ятур
ru_291,NULL
ru_292,NULL
ru_293,NULL
ru_294,"Слаб. унголиант"
ru_295,NULL
ru_296,NULL
ru_297,NULL
ru_298,NULL
ru_299,NULL
ru_300,NULL
ru_301,NULL
ru_302,"Гермес[Подземелье Обетованного острова]"
ru_303,"Брукс[Оружейный магазин]"
ru_304,Лодочник
ru_305,"Джастина[Магазин предметов]"
ru_306,"Лея[Магазин доспехов]"
ru_307,Андрей[Склад]
ru_308,Птолемей[Косторез]
ru_309,"Дорис[Мастерская портного]"
ru_310,"Зес[Телепорт Небесного Острова]"
ru_311,Гэри
ru_312,Оливия
ru_313,Карлос
ru_314,Вики
ru_315,Амброз
ru_316,Брэндон
ru_317,Руфус
ru_318,Фалис
ru_319,Нельсон
ru_320,Эльза
ru_321,Джиа
ru_322,Камилла
ru_323,Лорелей
ru_324,Логан
ru_325,Кэл
ru_326,Сала
ru_327,Уэсли
ru_328,Гейдж
ru_329,Лоретта
ru_330,Брайан
ru_331,Нанетта
ru_332,Калдер
ru_333,Портия
ru_334,Рэнс
ru_335,Карл
ru_336,Дэвид
ru_337,Марис
ru_338,Джилл
ru_339,Осия
ru_340,Гарет
ru_341,Шило
ru_342,Камелия
ru_343,Крейг
ru_344,Леннон
ru_345,Феадра
ru_346,"Гарт[Телепортер Эдин-пика]"
ru_347,Беттина
ru_348,Аарон
ru_349,Мартин
ru_350,Кэрол[Склад]
ru_351,Лия
ru_352,Валанте
ru_353,Хэйан
ru_354,Антинуа
ru_355,NULL
ru_356,NULL
ru_357,Эниалис
ru_358,Гермес
ru_359,Полирахис
ru_360,Рик
ru_361,"Огненный муравей"
ru_362,Термит
ru_363,NULL
ru_364,Лемур
ru_365,"Красная панда"
ru_366,Атуб
ru_367,Урим
ru_368,"Бамф[Магазин зелий]"
ru_369,"Йотул[Магазин предметов]"
ru_370,"Могак[Магазин доспехов]"
ru_371,Слог
ru_372,Эпкагут[Склад]
ru_373,"Йогуг[Оружейный магазин]"
ru_374,Башук
ru_375,Бор
ru_376,Омугуг
ru_377,Супгугх
ru_378,Панда
ru_379,Медведь
ru_380,Броненосец
ru_381,"Охранник Кассандры"
ru_382,Авантюрист
ru_383,Феликс
ru_384,Патч
ru_385,Магистр
ru_386,Сила
ru_387,Телепортер
ru_388,Панголин
ru_389,Уоррен
ru_390,Гордон
ru_391,Эрик
ru_392,Деллас
ru_393,Охотник
ru_394,Кот
ru_395,Тайсон[Косторез]
ru_396,Принц
ru_397,Рыцарь
ru_398,Маг
ru_399,Эльф
ru_400,Принцесса
ru_401,Рыцарь
ru_402,Маг
ru_403,Эльф
ru_404,"Законопослушный "
ru_405,Хаотичный
ru_406,Нейтральный
ru_407,NULL
ru_408,NULL
ru_409,NULL
ru_410,NULL
ru_411,NULL
ru_412,NULL
ru_413,NULL
ru_414,NULL
ru_415,NULL
ru_416,NULL
ru_417,NULL
ru_418,NULL
ru_419,NULL
ru_420,NULL
ru_421,NULL
ru_422,NULL
ru_423,NULL
ru_424,NULL
ru_425,NULL
ru_426,NULL
ru_427,NULL
ru_428,NULL
ru_429,NULL
ru_430,NULL
ru_431,NULL
ru_432,NULL
ru_433,NULL
ru_434,NULL
ru_435,NULL
ru_436,NULL
ru_437,Теодор[рынок]
ru_438,"Небо[Управляющий клана]"
ru_439,Нат
ru_440,Роджер[Заколдовать]
ru_441,"Торговец событий[время ограничено]"
ru_442,"Агент по событиям[время ограничено]"
ru_443,"Злой убийца"
ru_444,"Злой дозорный"
ru_445,"Злой инквизитор"
ru_446,Алхимик
ru_447,Тьяго
ru_448,Торговец
ru_449,"Оборотень претендент"
ru_450,"Гном претендент"
ru_451,"Орк претендент"
ru_452,"Орк боец претендент"
ru_453,"Кобольд претендент"
ru_454,"Гоблин претендент"
ru_455,"Хобгоблин претендент"
ru_456,"Гном боец претендент"
ru_457,Хавел[Заколдовать]
ru_458,Свейн
ru_459,Путешественник
ru_460,"Мастер рейтинга"
ru_461,"Темный багбер"
ru_462,"Темный три-крин"
ru_463,"Темный цербер"
ru_464,"Темный каменный голем"
ru_465,"Темный скелет"
ru_466,"Темный скелет лучник"
ru_467,"Темный скелет с топором"
ru_468,"Темный скелет с копьем"
ru_469,"Темная ночная тень"
ru_470,"Темный гуль"
ru_471,"Темная Унголиант"
ru_472,"Темный зомби"
ru_473,Джекс[Крафтер]
ru_474,"Живущая Вне Времени"
ru_475,"Ящик с сокровищами (счастливый)"
ru_476,NULL
ru_477,NULL
ru_478,"Ящик с сокровищами"
ru_479,"Слуга Теона[Клятва]"
ru_480,"Дар Теона (1 день)"
ru_481,"Дар Теона (5 дн.)"
ru_482,"Дар Теона (30 дн.)"
ru_483,"Дар Теона"
ru_484,"Дар Теона (7 дн.)"
ru_485,"Слуга Марии"
ru_486,"Падший привратник"
ru_487,"Мария, служительница мертвых [передача]"
ru_488,"Клайв[Склад клана]"
ru_489,"Пан [пастух]"
ru_490,"Дух засохшего леса"
ru_491,"Благословение богини луны [предоставление]"
ru_492,"Сильвия [материал]"
ru_493,"Том Сласти-или-Страсти"
ru_494,"Кенни Кэндилес"
ru_495,"Маленький Рог"
ru_496,"Праздничный посланник"
ru_497,"Старший шаман"
ru_498,"Пират, потерпевший кораблекрушение [сокровище]"
ru_499,"Кольцо доброты"
ru_500,"Продвинутая Магический самоцвет"
ru_501,"Свиток защиты"
ru_502,"Святая книга"
ru_503,"Медный ключ"
ru_504,"Деревянный ключ"
ru_505,"Книга заклинаний"
ru_506,Свиток
ru_507,"Зелье мудрости"
ru_508,"Зелье храбрости"
ru_509,Кора
ru_510,"Ветвь жизни"
ru_511,Перо
ru_512,Флейта
ru_513,"Костяные осколки"
ru_514,Кристалл
ru_515,Порошок
ru_516,Букет
ru_517,"Зелье ускорения"
ru_518,NULL
ru_519,"Малое лечебное зелье"
ru_520,NULL
ru_521,"Зелье восстановления маны"
ru_522,NULL
ru_523,"Зелье противоядия"
ru_524,"Изумрудное зелье"
ru_525,"Большое лечебное зелье"
ru_526,NULL
ru_527,"Лечебное зелье"
ru_528,"оранжевое зелье"
ru_529,Тыква
ru_530,Кукуруза
ru_531,Золото
ru_532,"Эльфийская вафля"
ru_533,"Свиток возвращения: город на Обетованном острове"
ru_534,"Свиток возвращения: подземелье на Обетованном острове, 1-й этаж"
ru_535,"Свиток возвращения: подземелье на Обетованном острове, 2-й этаж"
ru_536,"Свиток возвращения: старый подземный ход"
ru_537,"Свиток возвращения: подземелье в Маросе, 1-й этаж"
ru_538,"Свиток возвращения: подземелье в Маросе, 2-й этаж"
ru_539,"Свиток возвращения: подземелье в Маросе, 3-й этаж"
ru_540,"Свиток возвращения: подземелье в Маросе, 4-й этаж"
ru_541,"Свиток возвращения: подземелье в Маросе, 5-й этаж"
ru_542,"Свиток возвращения: подземелье в Маросе, 6-й этаж"
ru_543,"Свиток возвращения: подземелье в Маросе, 7-й этаж"
ru_544,NULL
ru_545,"Свиток возвращения: подземелье Сэндвудского замка, 1-й этаж"
ru_546,"Свиток возвращения: подземелье Сэндвудского замка, 2-й этаж"
ru_547,"Свиток возвращения: Дамелот"
ru_548,"Свиток возвращения: подземелье Дамелота, 1-й этаж"
ru_549,"Свиток возвращения: подземелье Дамелота, 2-й этаж"
ru_550,"Свиток возвращения: подземелье Дамелота, 3-й этаж"
ru_551,"Свиток возвращения: подземелье Дамелота, 4-й этаж"
ru_552,"Свиток возвращения: город Сэндвуд"
ru_553,"Свиток возвращения: оазис в пустыне"
ru_554,"Свиток возвращения: Маросград"
ru_555,"Свиток возвращения: город орков"
ru_556,"Свиток возвращения: гильдия орков"
ru_557,"Свиток возвращения: Сэндвудский замок"
ru_558,"Свиток возвращения: внутренний город Сэндвуда"
ru_559,"Свиток возвращения: эльфийский сад"
ru_560,"Свиток возвращения: эльфийское подземелье, 1-й этаж"
ru_561,"Свиток возвращения: эльфийское подземелье, 2-й этаж"
ru_562,"Свиток возвращения: эльфийское подземелье, 3-й этаж"
ru_563,"Свиток возвращения: подземелье в Дрейковых горах, 1-й этаж"
ru_564,"Свиток возвращения: подземелье в Дрейковых горах, 2-й этаж"
ru_565,"Свиток возвращения: подземелье в Дрейковых горах, 3-й этаж"
ru_566,"Свиток возвращения: подземелье в Дрейковых горах, 4-й этаж"
ru_567,"Свиток возвращения: подземелье в Дрейковых горах, 5-й этаж"
ru_568,"Свиток возвращения: подземелье в Дрейковых горах, 6-й этаж"
ru_569,"Свиток возвращения: подземелье в Дрейковых горах, 7-й этаж"
ru_570,NULL
ru_571,"Свиток возвращения: пещера пустынных муравьев, 1-1"
ru_572,"Свиток возвращения: пещера пустынных муравьев, 1-2"
ru_573,"Свиток возвращения: пещера пустынных муравьев, 1-3"
ru_574,"Свиток возвращения: пещера пустынных муравьев, 1-4"
ru_575,"Свиток возвращения: пещера пустынных муравьев, 1-5"
ru_576,"Свиток возвращения: пещера пустынных муравьев, 1-6"
ru_577,"Свиток возвращения: пещера пустынных муравьев, 2-1"
ru_578,"Свиток возвращения: пещера пустынных муравьев, 2-2"
ru_579,"Свиток возвращения: пещера пустынных муравьев, 2-3"
ru_580,"Свиток возвращения: пещера пустынных муравьев, 3"
ru_581,"Свиток возвращения: гнезда королевы пустынных муравьев"
ru_582,"Особый кристалл духа (вода)"
ru_583,"Особый кристалл духа (огонь)"
ru_584,"Особый кристалл духа (ветер)"
ru_585,"Особый кристалл духа (земля)"
ru_586,"Обычный свиток"
ru_587,Карта
ru_588,"Билет на паром"
ru_589,NULL
ru_590,NULL
ru_591,NULL
ru_592,NULL
ru_593,"Смертельное зелье"
ru_594,NULL
ru_595,NULL
ru_596,NULL
ru_597,NULL
ru_598,NULL
ru_599,NULL
ru_600,NULL
ru_601,NULL
ru_602,NULL
ru_603,NULL
ru_604,NULL
ru_605,NULL
ru_606,NULL
ru_607,NULL
ru_608,NULL
ru_609,NULL
ru_610,NULL
ru_611,NULL
ru_612,"Свиток новичка"
ru_613,"Свиток возвращения: подземелье Охсвейл"
ru_614,"Успокаивающее зелье"
ru_615,"Клыки слабого оборотня"
ru_616,"Фрагмент кристалла времени"
ru_617,"Перо слабой гарпии"
ru_618,"Еда (слабый совомедведь)"
ru_619,"Новичок Лечебное зелье"
ru_620,"Новичок оранжевое зелье"
ru_621,"Ванильное печенье"
ru_622,"Новичок Малое лечебное зелье"
ru_623,NULL
ru_624,"Новичок Зелье ускорения"
ru_625,NULL
ru_626,"Свиток возвращения: [Эдинский монумент]"
ru_627,"Контейнер Джастины"
ru_628,"Огненные лозы"
ru_629,"Сломанный клинок"
ru_630,"Кристалл души зомби"
ru_631,"Кристалл души плавучего глаза"
ru_632,"Кровь гуля"
ru_633,"Волчья шкура"
ru_634,"Кристалл времени"
ru_635,"Хранилище брони Леи"
ru_636,"Лечебное зелье Леи"
ru_637,"Кожа, выделанная охотником"
ru_638,"Книга заклинаний"
ru_639,Новичок
ru_640,"Слуга рыцаря смерти"
ru_641,"Свиток превращения (Новичок)"
ru_642,"Щит (магия)"
ru_643,"Энергетическая стрела"
ru_644,"Ледяной кинжал"
ru_645,"Малое лечение"
ru_646,Телепортер
ru_647,Свет
ru_648,"Святое оружие"
ru_649,"Ветряной сюрикен"
ru_650,"Адский клык"
ru_651,"Ледяное касание"
ru_652,"Заколдовать оружие"
ru_653,"Проклятье: яд"
ru_654,"Огненная стрела"
ru_655,Обнаружение
ru_656,"Лечебное зелье"
ru_657,"Уменьшение веса"
ru_658,Лечение
ru_659,"Морозное облако"
ru_660,Молния
ru_661,"Показать слабое место"
ru_662,"Испугать нежить"
ru_663,"Благословленная броня"
ru_664,"Проклятье: слепота"
ru_665,Медитация
ru_666,"Прикосновение вампира"
ru_667,"Сломать оружие"
ru_668,"Земляная тюрьма"
ru_669,"Огненный шар"
ru_670,Замедление
ru_671,"Физическое колдовство: ЛОВ"
ru_672,"Блокирование магии"
ru_673,"Конус холода"
ru_674,"Проклятье: паралич"
ru_675,"Призыв молнии"
ru_676,"Снятие проклятья"
ru_677,"Приручить чудовище"
ru_678,"Улучшенное лечение"
ru_679,"Вытягивание маны"
ru_680,Тьма
ru_681,Ускорение
ru_682,Извержение
ru_683,Слабость
ru_684,"Солнечный взрыв"
ru_685,"Благословить оружие"
ru_686,"Создать зомби"
ru_687,"Физическое колдовство: СИЛ"
ru_688,"Отменить магию"
ru_689,Заморозка
ru_690,"Призвать чудовище"
ru_691,"Улучшенное ускорение"
ru_692,берсерк
ru_693,Болезнь
ru_694,"Святая ходьба"
ru_695,"Лечебный обет"
ru_696,Торнадо
ru_697,"Магическая мина"
ru_698,"Полное излечение"
ru_699,Буран
ru_700,"Поток жизни"
ru_701,"Огненная стена"
ru_702,Воскрешение
ru_703,Невидимость
ru_704,Землетрясение
ru_705,Молчание
ru_706,"Блокирование обнаружения"
ru_707,"Усыпляющий туман"
ru_708,"Огненная буря"
ru_709,"защитный барьер"
ru_710,"Зелье разложения"
ru_711,"Изменение формы"
ru_712,"Массовый телепорт"
ru_713,Гроза
ru_714,"Силовое поле"
ru_715,"Внутреннее зрение"
ru_716,"Ледяной шип"
ru_717,"Создать магическое оружие"
ru_718,"Метеоритный удар"
ru_719,Уничтожение
ru_720,"Улучшенное воскрешение"
ru_721,"Абсолютная преграда"
ru_722,"Массовое замедление"
ru_723,"Улучшенный дух"
ru_724,"Сменить местоположение"
ru_725,"Улучшенный массовый телепорт"
ru_726,"Парализовать всех"
ru_727,"Отражающий пруд"
ru_728,NULL
ru_729,NULL
ru_730,NULL
ru_731,NULL
ru_732,NULL
ru_733,NULL
ru_734,NULL
ru_735,NULL
ru_736,NULL
ru_737,NULL
ru_738,NULL
ru_739,NULL
ru_740,"Телепорт к матери"
ru_741,"Тело в разум"
ru_742,"Сопротивление магии"
ru_743,"Сопротивление стихиям"
ru_744,"Чистый разум"
ru_745,"Тройная стрела"
ru_746,"Защита от элементалей"
ru_747,Запутывание
ru_748,"Земляная кожа"
ru_749,"Водная жизнь"
ru_750,"Огненное оружие"
ru_751,"Возвращение к природе"
ru_752,"Ветряная ходьба"
ru_753,"Ветряной выстрел"
ru_754,"Кровь в душу"
ru_755,"Призыв малого элементаля"
ru_756,"Связь с землей"
ru_757,"Земляной хранитель"
ru_758,"Падение элементаля"
ru_759,"Глаз бури"
ru_760,"Водная защита"
ru_761,"Танцующее пламя"
ru_762,"Прикосновение природы"
ru_763,"Удаление магии"
ru_764,"Призыв большого элементаля"
ru_765,"Область молчания"
ru_766,"Стихийный огонь"
ru_767,"Грозовая ходьба"
ru_768,"Грозовой выстрел"
ru_769,"Загрязнение воды"
ru_770,"Пылающее оружие"
ru_771,"Душа пламени"
ru_772,"Чудо природы"
ru_773,"Благословение природы"
ru_774,"Разящий шторм"
ru_775,"Дополнительный огонь"
ru_776,"Железная кожа"
ru_777,"Блокирующее зеркало"
ru_778,"Ветряные оковы"
ru_779,"Экзотическое оживление"
ru_780,"Прочный корпус"
ru_781,"Уменьшение брони"
ru_782,"Блокирующая преграда"
ru_783,Шок
ru_784,"Отклонение атаки"
ru_785,"Истинная цель"
ru_786,"Призыв клана"
ru_787,"Светящаяся аура"
ru_788,"Узнать клан"
ru_789,"Аура храбрости"
ru_790,"Сияющая аура"
ru_791,NULL
ru_792,"Стихия молнии"
ru_793,"Стихия огня"
ru_794,"Стихия воды"
ru_795,"Стихия земли"
ru_796,"Стихия ветра"
ru_797,"Лунный пряник с бобовой пастой"
ru_798,"Лунный пряник с османтусом"
ru_799,"Лунный пряник с лотосом"
ru_800,"Лунный пряник с яичницей"
ru_801,Лампа
ru_802,Фонари
ru_803,Керосин
ru_804,"Магические фонари"
ru_805,Свечи
ru_806,"Палочка призыва чудовищ"
ru_807,"Сосновая палочка"
ru_808,"Палочка призыва молний"
ru_809,"Эбеновая палочка"
ru_810,"Палочка превращения"
ru_811,"Кленовая палочка"
ru_812,"Палочка изгнания"
ru_813,"Большое зелье ускорения"
ru_814,NULL
ru_815,"Концентрированное малое лечебное зелье"
ru_816,"Концентрированное лечебное зелье"
ru_817,"Большое концентрированное лечебное зелье"
ru_818,"Концентрированное оранжевое зелье"
ru_819,"Большое концентрированное лечебное зелье"
ru_820,"Концентрированное белое зелье"
ru_821,"Древнее малое лечебное зелье"
ru_822,NULL
ru_823,"Древнее лечебное зелье"
ru_824,NULL
ru_825,"Древнее большое лечебное зелье"
ru_826,NULL
ru_827,"Зелье слепоты"
ru_828,"Черное зелье"
ru_829,Эликсир(СИЛ)
ru_830,Эликсир(ТЕЛ)
ru_831,Эликсир(ЛОВ)
ru_832,Эликсир(ИНТ)
ru_833,Эликсир(МУД)
ru_834,Эликсир(ХАР)
ru_835,Вино
ru_836,Виски
ru_837,"Зелье остроты ума"
ru_838,Алмаз
ru_839,Рубин
ru_840,Сапфир
ru_841,Изумруд
ru_842,"Высококачественный алмаз"
ru_843,"Высококачественный рубин"
ru_844,"Высококачественный сапфир"
ru_845,"Высококачественный изумруд"
ru_846,"Алмаз высшего качества"
ru_847,"Рубин высшего качества"
ru_848,"Сапфир высшего качества"
ru_849,"Изумруд высшего качества"
ru_850,Мясо
ru_851,"Мясо плавучего глаза"
ru_852,Яйцо
ru_853,Морковь
ru_854,Лимон
ru_855,Банан
ru_856,Яблоко
ru_857,Апельсин
ru_858,"Свиток заколдованной брони"
ru_859,"Свиток уничтожения брони"
ru_860,"Свиток спасения"
ru_861,"Свиток массового телепорта"
ru_862,"Свиток заколдованного оружия"
ru_863,"Свиток превращения"
ru_864,"Свиток воскрешения"
ru_865,"Новичок Свиток спасения"
ru_866,"Новичок Свиток снятия проклятья"
ru_867,"Новичок Свиток идентификации"
ru_868,"Новичок Свиток телепортации"
ru_869,"Свиток телепортации"
ru_870,"Свиток снятия проклятья"
ru_871,"Свиток идентификации"
ru_872,"Сердце голема"
ru_873,"Золотой ключ"
ru_874,"Сердце дрейка"
ru_875,Платина
ru_876,"Ключ от номера в гостинице"
ru_877,"Серебряный ключ"
ru_878,"Ошейник для животного"
ru_879,"Точильный камень"
ru_880,"Магический самоцвет"
ru_881,"Самоцвет духа"
ru_882,"Чешуя Скаты"
ru_883,"Коготь Скаты"
ru_884,"Глаз Скаты"
ru_885,"Кровь Скаты"
ru_886,"Плоть Скаты"
ru_887,"Сердце Скаты"
ru_888,"Кость Скаты"
ru_889,"Зуб Скаты"
ru_890,"Чешуя огненного дракона"
ru_891,"Чешуя ветряного дракона"
ru_892,"Чешуя водяного дракона"
ru_893,"Чешуя земляного дракона"
ru_894,Кожа
ru_895,"Твердая кожа"
ru_896,"Кусок железа"
ru_897,"Паутина Лолты"
ru_898,"Волчья шкура"
ru_899,"Платиновая пластина"
ru_900,Платина
ru_901,"Кусок грубой платины"
ru_902,"Сок слизи"
ru_903,"Темный мифрил"
ru_904,"Кусок грубого темного мифрила"
ru_905,"Пластина из темного мифрила"
ru_906,"Синяя ткань"
ru_907,"Красная ткань"
ru_908,"Белая ткань"
ru_909,Чешуя
ru_910,"Панцирь скорпиона"
ru_911,"Кусок серебра"
ru_912,"Кусок грубого серебра"
ru_913,"Серебряная пластина"
ru_914,"Кусок души"
ru_915,"Фрагмент духа"
ru_916,"Мех цербера"
ru_917,"Золотая пластина"
ru_918,"Кусок золота"
ru_919,"Кусок грубого золота"
ru_920,"Перо грифона"
ru_921,"Мифриловая нить"
ru_922,"Кусок мифрила"
ru_923,"Мифриловая пластина"
ru_924,Нить
ru_925,Орихалк
ru_926,"Орихалковая пластина"
ru_927,"Кровь огра"
ru_928,"Фрагменты камня"
ru_929,"Пыль феи"
ru_930,"Крыло феи"
ru_931,"Тонкая пластина"
ru_932,"Черные ключи"
ru_933,"Красный ключ"
ru_934,"Древняя стрела"
ru_935,Стрела
ru_936,"Серебряная стрела"
ru_937,"Золотая стрела"
ru_938,"Мифриловая стрела"
ru_939,"Стрела из темного мифрила"
ru_940,"Орихалковая стрела"
ru_941,"Стальной блок"
ru_942,"Кусок грубого железа"
ru_943,Камни
ru_944,Растворитель
ru_945,Мука
ru_946,Помидор
ru_947,"Святая вода"
ru_948,"Свиток заколдованного оружия: огонь"
ru_949,"Свиток заколдованного оружия: земля"
ru_950,"Свиток заколдованного оружия: вода"
ru_951,"Свиток заколдованного оружия: ветер"
ru_952,"Зелье возрождения"
ru_953,Письмо
ru_954,"Свиток заколдованного украшения"
ru_955,"Значок железной крови"
ru_956,"Редкая пластина"
ru_957,"Пустая пластина"
ru_958,"Кости нежити"
ru_959,"Сломанная кожа (Х)"
ru_960,"Сломанная кожа (Y)"
ru_961,"Костный мозг скелета мага"
ru_962,"Очищенный кристалл души"
ru_963,"Сердце каменного голема"
ru_964,"Грязный кристалл души"
ru_965,"Карта подземелья на Обетованном острове"
ru_966,"Записка из старого подземного хода"
ru_967,"Эссенция силы рыцаря смерти"
ru_968,"Грязный кристалл души"
ru_969,"Кости рыцаря смерти"
ru_970,"Камень пустоты"
ru_971,"Сердце три-крина"
ru_972,"Клыки оборотня"
ru_973,"Масло гуля"
ru_974,"Мясо гаста"
ru_975,"Контейнер костяных осколков"
ru_976,"Пакеты с запасами еды"
ru_977,"Каменная коробка"
ru_978,"Древняя платиновая монета"
ru_979,"Письменная клятва"
ru_980,"Малое лечебное зелье (привязано)"
ru_981,"Зелье противоядия (привязано)"
ru_982,"Малое лечебное зелье (привязано)"
ru_983,"Зелье ускорения (привязано)"
ru_984,"Свиток спасения (привязано)"
ru_985,"Свиток телепортации (привязано)"
ru_986,"Свиток снятия проклятья (привязано)"
ru_987,"Свиток идентификации (привязано)"
ru_988,"Точильный камень (привязано)"
